,GOterms,scores,scores_adj,k,M
10891,GO:0019003,2.999510276289892e-16,1.3484298447061208e-11,9,59
2793,GO:0003924,1.6974736238744268e-14,3.8154963380637426e-10,12,291
13354,GO:0031090,4.3369247707424534e-14,6.498881768957566e-10,24,2911
34934,GO:0098588,1.0384697656727887e-12,1.1671102078955055e-08,20,2001
9150,GO:0016020,7.969661110714148e-11,7.16552230464309e-07,32,9430
14720,GO:0032550,3.534305887335961e-10,1.9518578562233845e-06,10,385
14719,GO:0032549,3.907623335782552e-10,1.9518578562233845e-06,10,389
3893,GO:0005525,3.359853659831848e-10,1.9518578562233845e-06,10,383
1194,GO:0001883,3.811141178874243e-10,1.9518578562233845e-06,10,388
14731,GO:0032561,5.247521615427103e-10,2.013900543213707e-06,10,401
1193,GO:0001882,4.646239470218253e-10,2.013900543213707e-06,10,396
10889,GO:0019001,5.375777225795681e-10,2.013900543213707e-06,10,402
35143,GO:0098805,8.744347395141141e-10,3.023862593450538e-06,16,1629
9922,GO:0017111,3.8253715083069916e-09,1.2283541153995771e-05,12,839
9728,GO:0016818,7.054969230074319e-09,1.865624363164653e-05,12,886
9727,GO:0016817,7.054969230074319e-09,1.865624363164653e-05,12,886
9453,GO:0016462,6.878576796024013e-09,1.865624363164653e-05,12,884
14182,GO:0031984,8.902390250504035e-09,2.2233719650633826e-05,15,1625
15089,GO:0032940,1.8090944341597017e-08,4.2804126467183885e-05,12,964
4960,GO:0006887,2.3849303391908756e-08,5.36072716991629e-05,11,781
